id,name,artist,songwriters,duration,genres,album,created_at,updated_at
20049,baby,Dustin Velasquez,Suzanne May,57:26,wish,weight,2024-05-06T07:55:04,2024-08-03T23:21:47
67984,parent,Keith Campbell,Mark Jones,59:34,team,style,2023-12-02T07:32:09,2024-10-04T02:49:39
1829,land,Juan Hall,Wanda Lawson,26:28,seem,early,2023-03-06T23:27:16,2024-12-30T15:00:01
52938,interview,Joseph Rodriguez,David Hull,57:44,control,raise,2024-08-11T20:29:05,2024-10-23T22:26:37
31483,single,Nicole Carroll,Linda Chase,07:08,minute,bring,2024-08-05T17:40:34,2024-09-19T22:22:13
69741,money,Austin Neal,Connie Bennett,49:48,support,foreign,2024-09-17T11:08:26,2024-07-15T15:15:29
41022,sign,Jennifer Shaw,Lori Robinson,45:05,class,effort,2024-01-19T23:26:58,2024-08-17T17:23:00
72585,page,Gerald Greene,Erika Bailey,42:05,some,wall,2023-10-08T22:40:05,2024-06-11T22:36:16
64071,person,Timothy Walker,Seth Meza,50:13,dark,per,2023-08-11T03:26:31,2024-04-20T08:02:02
39511,human,Erik Sanchez,Michael Malone,16:20,bank,control,2023-07-30T20:29:50,2024-09-29T02:50:51
57204,color,Michael Ward,Andres Murphy,34:22,important,goal,2024-05-24T07:31:26,2025-01-16T16:29:01
90976,society,Stephen Chapman,Sylvia Gutierrez,34:29,foot,control,2023-08-09T20:21:03,2024-12-09T07:20:36
15472,likely,Frances White,Joy Ferguson,15:44,TV,during,2023-04-23T04:30:48,2024-09-08T05:50:50
66203,professor,Nicholas Morales,Renee Jones,27:23,bag,large,2024-09-29T19:33:07,2024-08-15T14:13:06
61587,impact,Jillian Foster,James Clark,27:28,walk,student,2023-10-03T17:14:20,2024-11-25T04:35:59
6747,factor,Marcus Carroll,Larry Nolan,16:04,teach,hospital,2023-08-31T11:34:38,2024-06-20T05:57:51
38845,degree,Catherine Wilson,Michael Haynes,25:36,lay,share,2024-08-22T12:26:44,2024-09-13T05:35:24
34397,view,Charlotte Moyer,Ricky Lewis,36:59,forget,affect,2024-08-02T07:00:54,2024-06-06T11:51:51
